X Coodinate [mm],Z Coodinate [mm],Height [nm]
2.82E-01,-1.10E-01,-1.35E+00
2.82E-01,-1.32E-01,-1.35E+00
3.39E-01,-2.20E-02,-1.35E+00
3.39E-01,-4.40E-02,-1.35E+00
3.39E-01,-6.60E-02,-1.35E+00
3.39E-01,-8.80E-02,-1.35E+00
3.39E-01,-1.10E-01,-1.35E+00
3.39E-01,-1.32E-01,-1.34E+00
3.95E-01,-2.20E-02,-1.35E+00
3.95E-01,-4.40E-02,-1.35E+00
3.95E-01,-6.60E-02,-1.35E+00
3.95E-01,-8.80E-02,-1.34E+00
3.95E-01,-1.10E-01,-1.34E+00
3.95E-01,-1.32E-01,-1.34E+00
4.52E-01,-2.20E-02,-1.34E+00
4.52E-01,-4.40E-02,-1.34E+00
4.52E-01,-6.60E-02,-1.34E+00
4.52E-01,-8.80E-02,-1.34E+00
4.52E-01,-1.10E-01,-1.34E+00
4.52E-01,-1.32E-01,-1.33E+00
5.08E-01,-2.20E-02,-1.34E+00
5.08E-01,-4.40E-02,-1.34E+00
5.08E-01,-6.60E-02,-1.33E+00
5.08E-01,-8.80E-02,-1.33E+00
5.08E-01,-1.10E-01,-1.33E+00
5.08E-01,-1.32E-01,-1.33E+00
5.65E-01,-2.20E-02,-1.33E+00
5.65E-01,-4.40E-02,-1.33E+00
5.65E-01,-6.60E-02,-1.33E+00
5.65E-01,-8.80E-02,-1.33E+00
5.65E-01,-1.10E-01,-1.33E+00
5.65E-01,-1.32E-01,-1.32E+00
6.21E-01,-2.20E-02,-1.32E+00
6.21E-01,-4.40E-02,-1.32E+00
6.21E-01,-6.60E-02,-1.32E+00
6.21E-01,-8.80E-02,-1.32E+00
6.21E-01,-1.10E-01,-1.32E+00
6.21E-01,-1.32E-01,-1.32E+00
6.78E-01,-2.20E-02,-1.32E+00
6.78E-01,-4.40E-02,-1.32E+00
6.78E-01,-6.60E-02,-1.32E+00
6.78E-01,-8.80E-02,-1.32E+00
6.78E-01,-1.10E-01,-1.31E+00
6.78E-01,-1.32E-01,-1.31E+00
7.34E-01,-2.20E-02,-1.31E+00
7.34E-01,-4.40E-02,-1.31E+00
7.34E-01,-6.60E-02,-1.31E+00
7.34E-01,-8.80E-02,-1.31E+00
7.34E-01,-1.10E-01,-1.31E+00
7.34E-01,-1.32E-01,-1.31E+00
7.90E-01,-2.20E-02,-1.31E+00
7.90E-01,-4.40E-02,-1.31E+00
7.90E-01,-6.60E-02,-1.31E+00
7.90E-01,-8.80E-02,-1.30E+00
7.90E-01,-1.10E-01,-1.30E+00
7.90E-01,-1.32E-01,-1.30E+00
8.47E-01,-2.20E-02,-1.30E+00
8.47E-01,-4.40E-02,-1.30E+00
8.47E-01,-6.60E-02,-1.30E+00
8.47E-01,-8.80E-02,-1.30E+00
8.47E-01,-1.10E-01,-1.30E+00
8.47E-01,-1.32E-01,-1.30E+00
9.03E-01,-2.20E-02,-1.30E+00
9.03E-01,-4.40E-02,-1.30E+00
9.03E-01,-6.60E-02,-1.29E+00
9.03E-01,-8.80E-02,-1.29E+00
9.03E-01,-1.10E-01,-1.29E+00
9.03E-01,-1.32E-01,-1.29E+00
9.60E-01,-2.20E-02,-1.29E+00
9.60E-01,-4.40E-02,-1.29E+00
9.60E-01,-6.60E-02,-1.29E+00
9.60E-01,-8.80E-02,-1.29E+00
9.60E-01,-1.10E-01,-1.29E+00
9.60E-01,-1.32E-01,-1.29E+00
1.02E+00,-2.20E-02,-1.29E+00
1.02E+00,-4.40E-02,-1.28E+00
1.02E+00,-6.60E-02,-1.28E+00
1.02E+00,-8.80E-02,-1.28E+00
1.02E+00,-1.10E-01,-1.28E+00
1.02E+00,-1.32E-01,-1.28E+00
-5.65E-02,0.00E+00,-1.37E+00
-1.13E-01,0.00E+00,-1.37E+00
-1.69E-01,0.00E+00,-1.37E+00
-2.26E-01,0.00E+00,-1.36E+00
-2.82E-01,0.00E+00,-1.36E+00
-3.39E-01,0.00E+00,-1.35E+00
-3.95E-01,0.00E+00,-1.35E+00
-4.52E-01,0.00E+00,-1.34E+00
-5.08E-01,0.00E+00,-1.34E+00
-5.65E-01,0.00E+00,-1.33E+00
-6.21E-01,0.00E+00,-1.32E+00
-6.78E-01,0.00E+00,-1.32E+00
-7.34E-01,0.00E+00,-1.31E+00
-7.90E-01,0.00E+00,-1.30E+00
-8.47E-01,0.00E+00,-1.30E+00
-9.03E-01,0.00E+00,-1.29E+00
-9.60E-01,0.00E+00,-1.29E+00
-1.02E+00,0.00E+00,-1.28E+00
-1.02E+00,-2.20E-02,-1.28E+00
-1.02E+00,-4.40E-02,-1.28E+00
-1.02E+00,-6.60E-02,-1.28E+00
-1.02E+00,-8.80E-02,-1.28E+00
-1.02E+00,-1.10E-01,-1.28E+00
-1.02E+00,-1.32E-01,-1.28E+00
-9.60E-01,-2.20E-02,-1.29E+00
-9.60E-01,-4.40E-02,-1.29E+00
-9.60E-01,-6.60E-02,-1.29E+00
-9.60E-01,-8.80E-02,-1.28E+00
-9.60E-01,-1.10E-01,-1.28E+00
-9.60E-01,-1.32E-01,-1.28E+00
-9.03E-01,-2.20E-02,-1.29E+00
-9.03E-01,-4.40E-02,-1.29E+00
-9.03E-01,-6.60E-02,-1.29E+00
-9.03E-01,-8.80E-02,-1.29E+00
-9.03E-01,-1.10E-01,-1.29E+00
-9.03E-01,-1.32E-01,-1.29E+00
-8.47E-01,-2.20E-02,-1.30E+00
-8.47E-01,-4.40E-02,-1.30E+00
-8.47E-01,-6.60E-02,-1.30E+00
-8.47E-01,-8.80E-02,-1.30E+00
-8.47E-01,-1.10E-01,-1.29E+00
-8.47E-01,-1.32E-01,-1.29E+00
-7.90E-01,-2.20E-02,-1.30E+00
-7.90E-01,-4.40E-02,-1.30E+00
-7.90E-01,-6.60E-02,-1.30E+00
-7.90E-01,-8.80E-02,-1.30E+00
-7.90E-01,-1.10E-01,-1.30E+00
-7.90E-01,-1.32E-01,-1.30E+00
-7.34E-01,-2.20E-02,-1.31E+00
-7.34E-01,-4.40E-02,-1.31E+00
-7.34E-01,-6.60E-02,-1.31E+00
-7.34E-01,-8.80E-02,-1.31E+00
-7.34E-01,-1.10E-01,-1.31E+00
-7.34E-01,-1.32E-01,-1.30E+00
-6.78E-01,-2.20E-02,-1.32E+00
-6.78E-01,-4.40E-02,-1.32E+00
-6.78E-01,-6.60E-02,-1.31E+00
-6.78E-01,-8.80E-02,-1.31E+00
-6.78E-01,-1.10E-01,-1.31E+00
-6.78E-01,-1.32E-01,-1.31E+00
-6.21E-01,-2.20E-02,-1.32E+00
-6.21E-01,-4.40E-02,-1.32E+00
-6.21E-01,-6.60E-02,-1.32E+00
-6.21E-01,-8.80E-02,-1.32E+00
-6.21E-01,-1.10E-01,-1.32E+00
-6.21E-01,-1.32E-01,-1.32E+00
-5.65E-01,-2.20E-02,-1.33E+00
-5.65E-01,-4.40E-02,-1.33E+00
-5.65E-01,-6.60E-02,-1.33E+00
-5.65E-01,-8.80E-02,-1.32E+00
-5.65E-01,-1.10E-01,-1.32E+00
-5.65E-01,-1.32E-01,-1.32E+00
-5.08E-01,-2.20E-02,-1.34E+00
-5.08E-01,-4.40E-02,-1.33E+00
-5.08E-01,-6.60E-02,-1.33E+00
-5.08E-01,-8.80E-02,-1.33E+00
-5.08E-01,-1.10E-01,-1.33E+00
-5.08E-01,-1.32E-01,-1.33E+00
-4.52E-01,-2.20E-02,-1.34E+00
-4.52E-01,-4.40E-02,-1.34E+00
-4.52E-01,-6.60E-02,-1.34E+00
-4.52E-01,-8.80E-02,-1.34E+00
-4.52E-01,-1.10E-01,-1.33E+00
-4.52E-01,-1.32E-01,-1.33E+00
-3.95E-01,-2.20E-02,-1.35E+00
-3.95E-01,-4.40E-02,-1.35E+00
-3.95E-01,-6.60E-02,-1.34E+00
-3.95E-01,-8.80E-02,-1.34E+00
-3.95E-01,-1.10E-01,-1.34E+00
-3.95E-01,-1.32E-01,-1.34E+00
-3.39E-01,-2.20E-02,-1.35E+00
-3.39E-01,-4.40E-02,-1.35E+00
-3.39E-01,-6.60E-02,-1.35E+00
-3.39E-01,-8.80E-02,-1.35E+00
-3.39E-01,-1.10E-01,-1.34E+00
-3.39E-01,-1.32E-01,-1.34E+00
-2.82E-01,-2.20E-02,-1.36E+00
-2.82E-01,-4.40E-02,-1.36E+00
-2.82E-01,-6.60E-02,-1.35E+00
-2.82E-01,-8.80E-02,-1.35E+00
-2.82E-01,-1.10E-01,-1.35E+00
-2.82E-01,-1.32E-01,-1.35E+00
-2.26E-01,-2.20E-02,-1.36E+00
-2.26E-01,-4.40E-02,-1.36E+00
-2.26E-01,-6.60E-02,-1.36E+00
-2.26E-01,-8.80E-02,-1.36E+00
-2.26E-01,-1.10E-01,-1.35E+00
-2.26E-01,-1.32E-01,-1.35E+00
-1.69E-01,-2.20E-02,-1.37E+00
-1.69E-01,-4.40E-02,-1.36E+00
-1.69E-01,-6.60E-02,-1.36E+00
-1.69E-01,-8.80E-02,-1.36E+00
-1.69E-01,-1.10E-01,-1.36E+00
-1.69E-01,-1.32E-01,-1.35E+00
-1.13E-01,-2.20E-02,-1.37E+00
-1.13E-01,-4.40E-02,-1.37E+00
-1.13E-01,-6.60E-02,-1.36E+00
-1.13E-01,-8.80E-02,-1.36E+00
-1.13E-01,-1.10E-01,-1.36E+00
-1.13E-01,-1.32E-01,-1.35E+00
-5.65E-02,-2.20E-02,-1.37E+00
-5.65E-02,-4.40E-02,-1.37E+00
-5.65E-02,-6.60E-02,-1.37E+00
-5.65E-02,-8.80E-02,-1.36E+00
-5.65E-02,-1.10E-01,-1.36E+00
-5.65E-02,-1.32E-01,-1.36E+00
